,TypeName,make,ModelText,BodyTypeText,Ccm,City,Co2EmissionText,ConditionTypeText,ConsumptionRatingText,ConsumptionTotalText,Doors,DriveTypeText,FirstRegMonth,FirstRegYear,FuelTypeText,Hp,InteriorColorText,Km,Properties,Seats,TransmissionTypeText,color,extracted-value-ConsumptionTotalText,extracted-unit-ConsumptionTotalText
304,Corvette ZR1,Chevrolet,CORVETTE,Coupé,6162,Zuzwil,355 g/km,Occasion,G,15.0 l/100km,2,Hinterradantrieb,2,2010,Benzin,647,schwarz,13000,Ab MFK,2,Schaltgetriebe manuell,Gold,15.0,l/100km
305,M3,BMW,M3,Cabriolet,3999,Zuzwil,293 g/km,Occasion,G,12.3 l/100km,2,Hinterradantrieb,7,2008,Benzin,420,schwarz,78900,Ab MFK,4,Automatisiertes Schaltgetriebe,Gold,12.3,l/100km
306,CTR,RUF,null,Coupé,3400,Zuzwil,null,Occasion,null,null,2,null,1,1990,Benzin,469,blau,46000,Ab MFK,2,null,Gold,null,
307,R5 Turbo 2,Renault,R5,Kleinwagen,1397,Zuzwil,null,Occasion,null,null,3,Hinterradantrieb,5,1985,Benzin,160,beige,59900,null,2,Schaltgetriebe manuell,Gold,null,
308,Six 4.0,Daimler,XJ,Limousine,3980,Zuzwil,null,Occasion,null,null,4,Hinterradantrieb,1,1996,Benzin,241,beige,94800,Ab MFK,5,Automat,Gold,null,
309,RX-7 2.6 Turbo II,Mazda,RX-7,Cabriolet,2616,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,8,1989,Benzin,200,schwarz,67200,Ab MFK,2,Schaltgetriebe manuell,Grey,null,
310,Veyron 16.4,Bugatti,null,Coupé,7993,Sursee,null,Occasion,null,null,2,Allrad,7,2008,Benzin,1001,anthrazit,20000,null,2,Automatik-Getriebe,Anthracite,null,
311,911 Turbo,Porsche,911,Coupé,3600,Zuzwil,309 g/km,Occasion,G,12.9 l/100km,2,Allrad,10,2001,Benzin,420,schwarz,25900,Ab MFK,4,Schaltgetriebe manuell,Grey,12.9,l/100km
312,911 Carrera Cabrio,Porsche,911,Cabriolet,3596,Zuzwil,270 g/km,Occasion,G,11.2 l/100km,2,Hinterradantrieb,6,2005,Benzin,325,schwarz,20400,Ab MFK,2,Schaltgetriebe manuell,Grey,11.2,l/100km
313,S 500 L 4Matic,Mercedes-Benz,S 500,Limousine,4966,Zuzwil,311 g/km,Occasion,G,12.9 l/100km,4,Allrad,12,2002,Benzin,306,beige,54500,Ab MFK,5,Automat,Grey,12.9,l/100km
314,110 GT/SS,Bugatti,EB,Coupé,3500,Zuzwil,null,Occasion,null,null,2,Allrad,8,1998,Benzin,611,null,4000,null,2,Schaltgetriebe,Grey,null,
315,RS6 Avant 5.0 V10 quattro,Audi,RS6,Kombi,4991,Zuzwil,333 g/km,Occasion,G,14.0 l/100km,5,Allrad,10,2008,Benzin,580,null,41900,Ab MFK,5,Automat sequentiell,Grey,14.0,l/100km
316,575M,Ferrari,575M,Coupé,5748,Zuzwil,499 g/km,Occasion,null,21.8 l/100km,2,Hinterradantrieb,12,2003,Benzin,517,schwarz,8100,Ab MFK,2,Automatik-Getriebe,Grey,21.8,l/100km
317,RS6 Avant quattro,Audi,RS6,Kombi,4172,Zuzwil,350 g/km,Occasion,G,14.6 l/100km,5,Allrad,1,2003,Benzin,450,schwarz,39000,Ab MFK,5,Automat sequentiell,Grey,14.6,l/100km
318,S-Type 4.2 V8 S/C R,Jaguar,S-TYPE,Limousine,4196,Zuzwil,314 g/km,Occasion,G,12.5 l/100km,4,Hinterradantrieb,7,2002,Benzin,396,schwarz,32900,Ab MFK,5,Automat,Grey,12.5,l/100km
319,Spyder GT,Maserati,SPYDER GT,Cabriolet,4244,Zuzwil,400 g/km,Occasion,G,17.5 l/100km,2,Hinterradantrieb,5,2002,Benzin,390,anthrazit,63000,Ab MFK,2,Automatik-Getriebe,Grey,17.5,l/100km
320,911 Carrera Targa,Porsche,911,Cabriolet,3596,Zuzwil,269 g/km,Occasion,null,11.1 l/100km,2,Hinterradantrieb,5,2002,Benzin,320,schwarz,61800,Ab MFK,4,Automatik-Getriebe,Grey,11.1,l/100km
321,RS6 Avant 5.0 V10 quattro,Audi,RS6,Kombi,4991,Zuzwil,333 g/km,Occasion,G,14.0 l/100km,5,Allrad,6,2008,Benzin,580,schwarz,32800,"Ab MFK, Tuning",5,Automat sequentiell,Anthracite,14.0,l/100km
322,F355 GTS,Ferrari,F355,Cabriolet,3496,Zuzwil,395 g/km,Occasion,null,16.9 l/100km,2,Hinterradantrieb,10,1997,Benzin,380,beige,41000,Ab MFK,2,Schaltgetriebe manuell,Grey,16.9,l/100km
323,Quattroporte 4.2,Maserati,QUATTROPORTE,Limousine,4244,Zuzwil,370 g/km,Occasion,G,15.8 l/100km,4,Hinterradantrieb,6,2006,Benzin,400,beige,46050,Ab MFK,5,Automatisiertes Schaltgetriebe,Grey,15.8,l/100km
324,E 320 Elégance 4-Matic,Mercedes-Benz,E 320,Limousine,3199,Zuzwil,266 g/km,Occasion,G,11.1 l/100km,4,Allrad,3,2000,Benzin,224,grau,83900,Ab MFK,5,Automat,Grey,11.1,l/100km
